查票时间,演出ID,票档名称,票价,状态,API响应,备注
2026-06-06 13:28:39,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:39,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:39,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:39,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:39,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:39,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:44,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:44,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:44,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:44,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:44,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:44,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:48,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:48,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:48,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:48,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:48,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:48,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:53,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:53,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:53,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:53,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:53,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:53,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:57,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:57,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:57,295821,580元票,580,售罄,无响应,
2026-06-06 13:28:57,295821,480元票,480,售罄,无响应,
2026-06-06 13:28:57,295821,380元票,380,售罄,无响应,
2026-06-06 13:28:57,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:01,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:01,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:01,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:01,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:01,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:01,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:06,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:06,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:06,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:06,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:06,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:06,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:11,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:11,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:11,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:11,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:11,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:11,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:15,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:15,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:15,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:15,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:15,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:15,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:20,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:20,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:20,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:20,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:20,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:20,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:24,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:24,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:24,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:24,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:24,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:24,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:28,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:28,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:28,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:28,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:28,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:28,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:33,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:33,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:33,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:33,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:33,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:33,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:39,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:39,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:39,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:39,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:39,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:39,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:44,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:44,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:44,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:44,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:44,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:44,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:48,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:48,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:48,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:48,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:48,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:48,295821,280元票,280,售罄,无响应,
2026-06-06 13:29:53,295821,880元票,880,售罄,无响应,
2026-06-06 13:29:53,295821,780元票,780,售罄,无响应,
2026-06-06 13:29:53,295821,580元票,580,售罄,无响应,
2026-06-06 13:29:53,295821,480元票,480,售罄,无响应,
2026-06-06 13:29:53,295821,380元票,380,售罄,无响应,
2026-06-06 13:29:53,295821,280元票,280,售罄,无响应,
