查票时间,演出ID,票档名称,票价,状态,API响应,备注
2026-06-06 13:26:53,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:53,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:53,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:58,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:58,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:58,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:58,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:58,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:58,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:02,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:02,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:02,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:02,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:02,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:02,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:07,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:07,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:07,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:07,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:07,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:07,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:11,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:11,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:11,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:11,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:11,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:11,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:15,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:15,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:15,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:15,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:15,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:15,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:20,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:20,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:20,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:20,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:20,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:20,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:24,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:24,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:24,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:24,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:24,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:24,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:29,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:29,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:29,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:29,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:29,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:29,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:33,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:33,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:33,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:33,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:33,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:33,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:37,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:37,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:37,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:37,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:37,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:37,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:42,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:42,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:42,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:42,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:42,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:42,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:46,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:46,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:46,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:46,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:46,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:46,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:51,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:51,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:51,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:51,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:51,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:51,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:55,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:55,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:55,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:55,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:55,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:55,295821,280元票,280,售罄,无响应,
2026-06-06 13:27:59,295821,880元票,880,售罄,无响应,
2026-06-06 13:27:59,295821,780元票,780,售罄,无响应,
2026-06-06 13:27:59,295821,580元票,580,售罄,无响应,
2026-06-06 13:27:59,295821,480元票,480,售罄,无响应,
2026-06-06 13:27:59,295821,380元票,380,售罄,无响应,
2026-06-06 13:27:59,295821,280元票,280,售罄,无响应,
2026-06-06 13:28:04,295821,880元票,880,售罄,无响应,
2026-06-06 13:28:04,295821,780元票,780,售罄,无响应,
2026-06-06 13:28:04,295821,580元票,580,售罄,无响应,
